id,status_text,status_code,is_down,created_at
36445,OK,200,0,2024-09-10 00:46:04
36444,OK,200,0,2024-09-10 00:45:01
36443,OK,200,0,2024-09-10 00:44:02
36442,OK,200,0,2024-09-10 00:42:59
36441,OK,200,0,2024-09-10 00:42:01
36440,OK,200,0,2024-09-10 00:40:57
36439,OK,200,0,2024-09-10 00:39:59
36438,OK,200,0,2024-09-10 00:38:54
36437,OK,200,0,2024-09-10 00:37:57
36436,OK,200,0,2024-09-10 00:36:52
36435,OK,200,0,2024-09-10 00:35:52
36434,OK,200,0,2024-09-10 00:34:50
36433,OK,200,0,2024-09-10 00:33:50
36432,OK,200,0,2024-09-10 00:32:49
36431,OK,200,0,2024-09-10 00:31:49
36430,OK,200,0,2024-09-10 00:30:46
36429,OK,200,0,2024-09-10 00:29:47
36428,OK,200,0,2024-09-10 00:28:44
36427,OK,200,0,2024-09-10 00:27:46
36426,OK,200,0,2024-09-10 00:26:36
36425,OK,200,0,2024-09-10 00:25:45
36424,OK,200,0,2024-09-10 00:24:34
36423,OK,200,0,2024-09-10 00:23:43
36422,OK,200,0,2024-09-10 00:22:33
36421,OK,200,0,2024-09-10 00:21:42
36420,OK,200,0,2024-09-10 00:20:31
36419,OK,200,0,2024-09-10 00:19:41
36418,OK,200,0,2024-09-10 00:18:30
36417,OK,200,0,2024-09-10 00:17:39
36416,OK,200,0,2024-09-10 00:16:27
36415,OK,200,0,2024-09-10 00:15:37
36414,OK,200,0,2024-09-10 00:14:26
36413,OK,200,0,2024-09-10 00:13:36
36412,OK,200,0,2024-09-10 00:12:24
36411,OK,200,0,2024-09-10 00:11:34
36410,OK,200,0,2024-09-10 00:10:23
36409,OK,200,0,2024-09-10 00:09:33
36408,OK,200,0,2024-09-10 00:08:21
36407,OK,200,0,2024-09-10 00:07:31
36406,OK,200,0,2024-09-10 00:06:19
36405,OK,200,0,2024-09-10 00:05:28
36404,OK,200,0,2024-09-10 00:04:18
36403,OK,200,0,2024-09-10 00:03:27
36402,OK,200,0,2024-09-10 00:02:16
36401,OK,200,0,2024-09-10 00:01:25
36400,OK,200,0,2024-09-10 00:00:14
36399,OK,200,0,2024-09-09 23:59:23
36398,OK,200,0,2024-09-09 23:58:11
36397,OK,200,0,2024-09-09 23:57:22
36396,OK,200,0,2024-09-09 23:56:08
36395,OK,200,0,2024-09-09 23:55:21
36394,OK,200,0,2024-09-09 23:54:06
36393,OK,200,0,2024-09-09 23:53:19
36392,OK,200,0,2024-09-09 23:52:03
36391,OK,200,0,2024-09-09 23:51:18
36390,OK,200,0,2024-09-09 23:50:01
36389,OK,200,0,2024-09-09 23:49:16
36388,OK,200,0,2024-09-09 23:47:59
36387,OK,200,0,2024-09-09 23:47:14
36386,OK,200,0,2024-09-09 23:45:58
36385,OK,200,0,2024-09-09 23:45:12
